Class,Accuracy,Precision,Recall,F1-Score,Support
Pepper__bell___Bacterial_spot,0.5226130653266332,0.7375886524822695,0.5226130653266332,0.611764705882353,199
Pepper__bell___healthy,0.8209459459459459,0.9,0.8209459459459459,0.8586572438162544,296
Potato___Early_blight,0.835,0.620817843866171,0.835,0.7121535181236673,200
Potato___Late_blight,0.675,0.4623287671232877,0.675,0.5487804878048781,200
Potato___healthy,0.4,0.48,0.4,0.43636363636363634,30
Tomato_Bacterial_spot,0.7183098591549296,0.6296296296296297,0.7183098591549296,0.6710526315789473,426
Tomato_Early_blight,0.095,0.4418604651162791,0.095,0.15637860082304528,200
Tomato_Late_blight,0.47643979057591623,0.8387096774193549,0.47643979057591623,0.6076794657762938,382
Tomato_Leaf_Mold,0.6842105263157895,0.5555555555555556,0.6842105263157895,0.6132075471698113,190
Tomato_Septoria_leaf_spot,0.3502824858757062,0.5414847161572053,0.3502824858757062,0.42538593481989706,354
Tomato_Spider_mites_Two_spotted_spider_mite,0.7850746268656716,0.6726342710997443,0.7850746268656716,0.7245179063360881,335
Tomato__Target_Spot,0.2918149466192171,0.6212121212121212,0.2918149466192171,0.39709443099273606,281
Tomato__Tomato_YellowLeaf__Curl_Virus,0.7710280373831776,0.7545731707317073,0.7710280373831776,0.7627118644067796,642
Tomato__Tomato_mosaic_virus,0.6266666666666667,0.6619718309859155,0.6266666666666667,0.6438356164383562,75
Tomato_healthy,0.9433962264150944,0.44642857142857145,0.9433962264150944,0.6060606060606061,318
── WEIGHTED AVG ──,0.6320251937984496,0.6527066997731946,0.6320251937984496,0.6159225236409788,4128
